"","sampleStatus","pos_143.11832_1.314"
"XBR183","drain_3_N",5.0500333195139
"XBR184","drain_2_N",5.43980293847594
"XBR185","drain_3_Y",5.8691435616808
"XBR186","drain_3_Y",7.24429672349674
"XBR187","drain_2_Y",5.40448610622215
"XBR188","drain_2_N",5.42208466782483
"XBR194","drain_2_N",5.25058964119591
"XBR197","drain_1_N",5.50815388304967
"XBR198","drain_1_N",5.18977550238754
"XBR199","drain_3_N",5.84050550533967
"XBR200","drain_3_Y",5.60726978457074
"XBR203","Y",6.87137368900879
"XBR204","Y",7.60837211063101
"XBR207","drain_2_N",5.33984902292222
"XBR218","Y",6.16703364367879
"XBR219","N",6.01929516090695
"XBR221","N",7.19813622249608
"XBR222","N",6.29540352551427
"XBR225","drain_1_Y",5.77791135239313
"XBR227","drain_1_Y",5.57253530243389
"XBR228","drain_1_Y",5.77115359508743
"XBR230","drain_2_Y",4.66380595966705
"XBR231","drain_2_Y",4.72810270949254
"XBR232","drain_2_Y",6.4698775666393
"XBR233","N",4.48238975515487
"XBR234","drain_3_Y",4.355301208495
"XBR235","drain_3_Y",4.46360354542331
"XBR236","Y",6.39614293520672
"XBR237","Y",7.08040759965479
"XBR238","N",6.27455562516925
"XBR239","N",5.29406219864843
"XBR240","N",6.41410022130545
"XBR241","N",6.18246280680232
"XBR245","drain_3_Y",6.58237692785699
"XBR249","Y",6.91507803979911
"XBR250","N",6.48740359337711
"XBR251","drain_1_N",6.22238760732699
"XBR257","drain_2_N",6.25151815415271
"XBR259","Y",7.52093782922493
"XBR261","N",4.84285640699626
"XBR262","N",5.2249225482042
"XBR263","N",4.72837716697242
"XBR266","N",5.62236646435626
"XBR267","N",4.24543263378551
"XBR268","N",5.13424282934279
"XBR269","N",5.87617314390306
"XBR270","N",6.00071733078278
"XBR271","Y",7.75859566213455
"XBR293","N",5.64793866251024
"XBR294","N",4.99779335351501
"XBR295","N",4.2378230323697
"XBR296","Y",7.48751029536015
"XBR273","N",6.16161971734081
"XBR274","Y",5.80383837168267
"XBR275","N",4.33425103027196
"XBR276","Y",6.67198739559473
"XBR297","N",4.85199277873861
"XBR298","Y",7.82422801516302
"XBR299","N",5.62104006109275
"XBR277","Y",6.55215388291196
"XBR300","N",6.92400527646057
"XBR301","N",5.54544964943345
"XBR278","N",5.25626556255887
"XBR302","N",4.93994344913403
"XBR303","Y",6.46131745307012
"XBR304","Y",6.64443010015874
"XBR279","N",6.31553647149529
"XBR280","Y",6.54779066892298
"XBR281","Y",7.05014901151258
"XBR282","N",6.89525444729321
"XBR283","Y",6.30778996584577
"XBR305","N",5.18270282447702
"XBR284","Y",6.42951111810765
"XBR285","Y",7.3154513218725
"XBR286","Y",6.59686171593953
"XBR287","Y",8.02664365525849
"XBR306","N",6.12151488072772
"XBR288","Y",6.09421428404307
"XBR307","Y",7.92092875548096
"XBR289","Y",6.94651114707883
"XBR308","N",7.42548017062136
"XBR290","Y",6.46850257195093
"XBR291","Y",7.40695368920007
"XBR292","N",5.83100739709644
"XBR272","N",4.81163528022037
"XBR316","N",4.85724623915322
